"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Back & Biceps","11 Apr 2026, 11:30","11 Apr 2026, 13:11","","Pull Up",,"",0,"normal",,7,,,
"Back & Biceps","11 Apr 2026, 11:30","11 Apr 2026, 13:11","","Chin Up",,"",0,"normal",,8,,,
"Back & Biceps","11 Apr 2026, 11:30","11 Apr 2026, 13:11","","Chin Up",,"",1,"normal",,5,,,
"Back & Biceps","11 Apr 2026, 11:30","11 Apr 2026, 13:11","","Back Extension (Machine)",0,"",0,"normal",67.5,15,,,
"Back & Biceps","11 Apr 2026, 11:30","11 Apr 2026, 13:11","","Back Extension (Machine)",0,"",1,"normal",47.5,19,,,
"Back & Biceps","11 Apr 2026, 11:30","11 Apr 2026, 13:11","","Back Extension (Machine)",0,"",2,"normal",52.5,16,,,
"Back & Biceps","11 Apr 2026, 11:30","11 Apr 2026, 13:11","","Preacher Curl (Dumbbell)",0,"",0,"normal",14,6,,,
"Back & Biceps","11 Apr 2026, 11:30","11 Apr 2026, 13:11","","Preacher Curl (Dumbbell)",0,"",1,"normal",10,12,,,
"Back & Biceps","11 Apr 2026, 11:30","11 Apr 2026, 13:11","","Preacher Curl (Dumbbell)",0,"",2,"normal",10,13,,,
"Back & Biceps","11 Apr 2026, 11:30","11 Apr 2026, 13:11","","Iso-Lateral Low Row",,"",0,"normal",65,13,,,
"Back & Biceps","11 Apr 2026, 11:30","11 Apr 2026, 13:11","","Iso-Lateral Low Row",,"",1,"normal",65,10,,,
"Back & Biceps","11 Apr 2026, 11:30","11 Apr 2026, 13:11","","Iso-Lateral Low Row",,"",2,"normal",65,10,,,
"Back & Biceps","11 Apr 2026, 11:30","11 Apr 2026, 13:11","","Straight Arm Lat Pulldown (Cable)",,"",0,"normal",18.14,10,,,
"Back & Biceps","11 Apr 2026, 11:30","11 Apr 2026, 13:11","","Straight Arm Lat Pulldown (Cable)",,"",1,"normal",15.88,11,,,
"Back & Biceps","11 Apr 2026, 11:30","11 Apr 2026, 13:11","","Straight Arm Lat Pulldown (Cable)",,"",2,"normal",15.88,9,,,
"Back & Biceps","11 Apr 2026, 11:30","11 Apr 2026, 13:11","","Seated Incline Curl (Dumbbell)",,"",0,"normal",10,11,,,
"Back & Biceps","11 Apr 2026, 11:30","11 Apr 2026, 13:11","","Seated Incline Curl (Dumbbell)",,"",1,"normal",9,10,,,
"Back & Biceps","11 Apr 2026, 11:30","11 Apr 2026, 13:11","","Seated Incline Curl (Dumbbell)",,"",2,"normal",9,8,,,
"Back & Biceps","11 Apr 2026, 11:30","11 Apr 2026, 13:11","","Hammer Curl (Dumbbell)",,"",0,"normal",10,7,,,
"Back & Biceps","11 Apr 2026, 11:30","11 Apr 2026, 13:11","","Hammer Curl (Dumbbell)",,"",1,"normal",8,10,,,
"Back & Biceps","11 Apr 2026, 11:30","11 Apr 2026, 13:11","","Hammer Curl (Dumbbell)",,"",2,"normal",8,8,,,
"Shoulders","9 Apr 2026, 09:46","9 Apr 2026, 10:58","","Overhead Press (Barbell)",,"",0,"normal",45,7,,,
"Shoulders","9 Apr 2026, 09:46","9 Apr 2026, 10:58","","Overhead Press (Barbell)",,"",1,"normal",35,10,,,
"Shoulders","9 Apr 2026, 09:46","9 Apr 2026, 10:58","","Overhead Press (Barbell)",,"",2,"normal",35,10,,,
"Shoulders","9 Apr 2026, 09:46","9 Apr 2026, 10:58","","Crunch (Machine)",,"",0,"normal",40,12,,,
"Shoulders","9 Apr 2026, 09:46","9 Apr 2026, 10:58","","Crunch (Machine)",,"",1,"normal",40,11,,,
"Shoulders","9 Apr 2026, 09:46","9 Apr 2026, 10:58","","Crunch (Machine)",,"",2,"normal",40,12,,,
"Shoulders","9 Apr 2026, 09:46","9 Apr 2026, 10:58","","Face Pull",,"",0,"normal",40,8,,,
"Shoulders","9 Apr 2026, 09:46","9 Apr 2026, 10:58","","Face Pull",,"",1,"normal",40,7,,,
"Shoulders","9 Apr 2026, 09:46","9 Apr 2026, 10:58","","Face Pull",,"",2,"normal",35,10,,,
"Shoulders","9 Apr 2026, 09:46","9 Apr 2026, 10:58","","Lateral Raise (Machine)",0,"",0,"normal",40,9,,,
"Shoulders","9 Apr 2026, 09:46","9 Apr 2026, 10:58","","Lateral Raise (Machine)",0,"",1,"normal",40,8,,,
"Shoulders","9 Apr 2026, 09:46","9 Apr 2026, 10:58","","Lateral Raise (Machine)",0,"",2,"normal",40,10,,,
"Chest & Triceps","7 Apr 2026, 09:23","7 Apr 2026, 10:39","","Triceps Dip",,"",0,"normal",,11,,,
"Chest & Triceps","7 Apr 2026, 09:23","7 Apr 2026, 10:39","","Triceps Dip",,"",1,"normal",,10,,,
"Chest & Triceps","7 Apr 2026, 09:23","7 Apr 2026, 10:39","","Triceps Dip",,"",2,"normal",,7,,,
"Chest & Triceps","7 Apr 2026, 09:23","7 Apr 2026, 10:39","","Incline Bench Press (Dumbbell)",,"",0,"normal",22,6,,,
"Chest & Triceps","7 Apr 2026, 09:23","7 Apr 2026, 10:39","","Incline Bench Press (Dumbbell)",,"",1,"normal",18,10,,,
"Chest & Triceps","7 Apr 2026, 09:23","7 Apr 2026, 10:39","","Incline Bench Press (Dumbbell)",,"",2,"normal",18,9,,,
"Chest & Triceps","7 Apr 2026, 09:23","7 Apr 2026, 10:39","","Seated Chest Flys (Cable)",,"",0,"normal",3,11,,,
"Chest & Triceps","7 Apr 2026, 09:23","7 Apr 2026, 10:39","","Seated Chest Flys (Cable)",,"",1,"normal",3,12,,,
"Chest & Triceps","7 Apr 2026, 09:23","7 Apr 2026, 10:39","","Seated Chest Flys (Cable)",,"",2,"normal",3,11,,,
"Chest & Triceps","7 Apr 2026, 09:23","7 Apr 2026, 10:39","","Rope Straight Arm Pulldown",,"",0,"normal",30,5,,,
